method,auc,tpr,fpr,detection_delay,threshold,detection_accuracy,scenario,seed,window_size,runtime
centroid,,,0.05,10,0.1084128737449646,0.95,no_drift,42,200,0.00015147924423217774
covariance,,,0.05,10,0.06433435317342076,0.95,no_drift,42,200,0.25942192077636717
mmd,,,0.05,10,0.007714671583763622,0.95,no_drift,42,200,0.11807113885879517
knn,,,0.05,10,0.0378211835787864,0.95,no_drift,42,200,0.028833842277526854
tda_entropy_h0,,,0.05,10,0.05665045020260902,0.95,no_drift,42,200,0.03428331613540649
tda_wasserstein_h0,,,0.05,10,5.229491648171292,0.95,no_drift,42,200,0.0019782304763793944
tda_phd,,,0.05,10,0.052666156650253454,0.95,no_drift,42,200,0.04800053834915161
tda_entropy_h1,,,0.05,10,0.2565719616870517,0.95,no_drift,42,200,0.00010547637939453124
tda_betti_auc,,,0.05,10,6.232658865091008,0.95,no_drift,42,200,0.03428331613540649
centroid,,,0.05,10,0.10634209513664246,0.95,no_drift,123,200,7.233619689941406e-05
covariance,,,0.05,10,0.062218644710600166,0.95,no_drift,123,200,0.2564364433288574
mmd,,,0.05,10,0.0074669666291009625,0.95,no_drift,123,200,0.13249303102493287
knn,,,0.05,10,0.0351345968489196,0.95,no_drift,123,200,0.02914881706237793
tda_entropy_h0,,,0.05,10,0.05122202907355393,0.95,no_drift,123,200,0.028919124603271486
tda_wasserstein_h0,,,0.05,10,4.540788420107927,0.95,no_drift,123,200,0.001987636089324951
tda_phd,,,0.05,10,0.028747908198762013,0.95,no_drift,123,200,0.04655575752258301
tda_entropy_h1,,,0.05,10,0.19830741466373922,0.95,no_drift,123,200,7.741451263427734e-05
tda_betti_auc,,,0.05,10,3.2040184110403067,0.95,no_drift,123,200,0.028919124603271486
centroid,,,0.05,10,0.09400347396731377,0.95,no_drift,456,200,7.730722427368164e-05
covariance,,,0.05,10,0.059015915549359414,0.95,no_drift,456,200,0.25159837007522584
mmd,,,0.05,10,0.006187207223457086,0.95,no_drift,456,200,0.13167301416397095
knn,,,0.05,10,0.03346627401517791,0.95,no_drift,456,200,0.036754286289215087
tda_entropy_h0,,,0.05,10,0.033527756678757924,0.95,no_drift,456,200,0.04613046646118164
tda_wasserstein_h0,,,0.05,10,4.245794031343869,0.95,no_drift,456,200,0.002907204627990723
tda_phd,,,0.05,10,0.020695306970490115,0.95,no_drift,456,200,0.05512394905090332
tda_entropy_h1,,,0.05,10,0.22040308698457806,0.95,no_drift,456,200,7.967948913574218e-05
tda_betti_auc,,,0.05,10,4.37343145608902,0.95,no_drift,456,200,0.04613046646118164
centroid,1.0,1.0,0.1,0,0.10914061665534973,0.95,abrupt_topic,42,200,7.786750793457032e-05
covariance,1.0,1.0,0.1,0,0.0641862958417793,0.95,abrupt_topic,42,200,0.25303765535354616
mmd,1.0,1.0,0.1,0,0.007777231104186732,0.95,abrupt_topic,42,200,0.12071845531463624
knn,0.77,0.6,0.1,0,0.021415412327976696,0.75,abrupt_topic,42,200,0.031492650508880615
tda_entropy_h0,0.4,0.0,0.1,10,0.05864584630792357,0.45,abrupt_topic,42,200,0.03587220907211304
tda_wasserstein_h0,0.93,0.8,0.1,1,4.546740558462677,0.85,abrupt_topic,42,200,0.002452218532562256
tda_phd,0.26,0.0,0.1,10,0.04587871536796271,0.45,abrupt_topic,42,200,0.04748889207839966
tda_entropy_h1,0.55,0.2,0.1,5,0.22776449096903578,0.55,abrupt_topic,42,200,7.963180541992188e-05
tda_betti_auc,0.78,0.1,0.1,8,4.972825913664499,0.5,abrupt_topic,42,200,0.03587220907211304
centroid,1.0,1.0,0.1,0,0.10440487414598465,0.95,abrupt_topic,123,200,7.518529891967774e-05
covariance,1.0,1.0,0.1,0,0.06110773692383922,0.95,abrupt_topic,123,200,0.21766293048858643
mmd,1.0,1.0,0.1,0,0.007037075632817386,0.95,abrupt_topic,123,200,0.1016916036605835
knn,0.67,0.2,0.1,2,0.030172316474892394,0.55,abrupt_topic,123,200,0.026452791690826417
tda_entropy_h0,0.51,0.2,0.1,4,0.051015448277724126,0.55,abrupt_topic,123,200,0.03702369928359985
tda_wasserstein_h0,0.93,0.6,0.1,2,4.614588080097369,0.75,abrupt_topic,123,200,0.0017765045166015625
tda_phd,0.47,0.0,0.1,10,0.03570463588127863,0.45,abrupt_topic,123,200,0.052874982357025146
tda_entropy_h1,0.8500000000000001,0.6,0.1,0,0.21059347680345678,0.75,abrupt_topic,123,200,8.254051208496093e-05
tda_betti_auc,0.42000000000000004,0.1,0.1,0,2.930615426599979,0.5,abrupt_topic,123,200,0.03702369928359985
centroid,1.0,1.0,0.1,0,0.09237674474716186,0.95,abrupt_topic,456,200,7.54237174987793e-05
covariance,1.0,1.0,0.1,0,0.058945269670043064,0.95,abrupt_topic,456,200,0.2622211813926697
mmd,1.0,1.0,0.1,0,0.00606894323227573,0.95,abrupt_topic,456,200,0.12402734756469727
knn,0.33999999999999997,0.0,0.1,10,0.032984688086934964,0.45,abrupt_topic,456,200,0.029546689987182618
tda_entropy_h0,0.42000000000000004,0.1,0.1,8,0.024716314008579803,0.5,abrupt_topic,456,200,0.03701159954071045
tda_wasserstein_h0,0.92,0.6,0.1,0,3.9501762994613725,0.75,abrupt_topic,456,200,0.0019922256469726562
tda_phd,0.5800000000000001,0.4,0.1,0,0.02237069395852515,0.65,abrupt_topic,456,200,0.05317730903625488
tda_entropy_h1,0.8400000000000001,0.5,0.1,0,0.17067058210749547,0.7,abrupt_topic,456,200,7.981061935424805e-05
tda_betti_auc,0.44999999999999996,0.1,0.1,8,4.123409057611287,0.5,abrupt_topic,456,200,0.03701159954071045
centroid,1.0,1.0,0.08333333333333333,0,0.12005390897393227,0.95,gradual_topic,42,200,9.336471557617188e-05
covariance,1.0,1.0,0.08333333333333333,0,0.0660190021216261,0.95,gradual_topic,42,200,0.23966672420501708
mmd,1.0,1.0,0.08333333333333333,0,0.008544197001213583,0.95,gradual_topic,42,200,0.09071074724197388
knn,0.84375,0.375,0.08333333333333333,1,0.02911331807691401,0.7,gradual_topic,42,200,0.025542640686035158
tda_entropy_h0,0.2604166666666667,0.0,0.08333333333333333,10,0.05813700326008586,0.55,gradual_topic,42,200,0.036730754375457766
tda_wasserstein_h0,0.5520833333333334,0.125,0.08333333333333333,7,4.396272809547448,0.6,gradual_topic,42,200,0.0016716718673706055
tda_phd,0.22916666666666669,0.0,0.08333333333333333,10,0.0443767060887735,0.55,gradual_topic,42,200,0.05089421272277832
tda_entropy_h1,0.4375,0.0,0.08333333333333333,10,0.2739209804275087,0.55,gradual_topic,42,200,9.895563125610352e-05
tda_betti_auc,0.4375,0.125,0.08333333333333333,7,4.905624119767062,0.6,gradual_topic,42,200,0.036730754375457766
centroid,1.0,1.0,0.08333333333333333,0,0.10833497419953346,0.95,gradual_topic,123,200,9.21487808227539e-05
covariance,1.0,1.0,0.08333333333333333,0,0.06110096616567637,0.95,gradual_topic,123,200,0.2399011254310608
mmd,1.0,1.0,0.08333333333333333,0,0.007352609488724032,0.95,gradual_topic,123,200,0.12701096534729003
knn,0.6666666666666666,0.25,0.08333333333333333,2,0.03620755374781308,0.65,gradual_topic,123,200,0.030314087867736816
tda_entropy_h0,0.45833333333333337,0.0,0.08333333333333333,10,0.05397387012621926,0.55,gradual_topic,123,200,0.03465117216110229
tda_wasserstein_h0,0.5833333333333333,0.0,0.08333333333333333,10,5.101929225031261,0.55,gradual_topic,123,200,0.0018017053604125976
tda_phd,0.5625,0.0,0.08333333333333333,10,0.03411005507077727,0.55,gradual_topic,123,200,0.05567488670349121
tda_entropy_h1,0.7708333333333334,0.375,0.08333333333333333,2,0.20813626437551327,0.7,gradual_topic,123,200,0.00010380744934082031
tda_betti_auc,0.5104166666666665,0.125,0.08333333333333333,3,5.1191167384386045,0.6,gradual_topic,123,200,0.03465117216110229
centroid,1.0,1.0,0.08333333333333333,0,0.1165206741541624,0.95,gradual_topic,456,200,9.152889251708984e-05
covariance,1.0,1.0,0.08333333333333333,0,0.058929692929732484,0.95,gradual_topic,456,200,0.2360560655593872
mmd,1.0,1.0,0.08333333333333333,0,0.007940706698386583,0.95,gradual_topic,456,200,0.10840686559677123
knn,0.8541666666666666,0.625,0.08333333333333333,0,0.03936249610715261,0.8,gradual_topic,456,200,0.029525840282440187
tda_entropy_h0,0.59375,0.125,0.08333333333333333,4,0.024138443712205367,0.6,gradual_topic,456,200,0.04203627109527588
tda_wasserstein_h0,0.8229166666666667,0.5,0.08333333333333333,1,3.8890174079063864,0.75,gradual_topic,456,200,0.0015127062797546387
tda_phd,0.5104166666666667,0.125,0.08333333333333333,1,0.02115662350064045,0.6,gradual_topic,456,200,0.051469612121582034
tda_entropy_h1,0.8749999999999999,0.375,0.08333333333333333,3,0.1759948425702096,0.7,gradual_topic,456,200,0.00011036396026611328
tda_betti_auc,0.65625,0.25,0.08333333333333333,1,4.069467409285646,0.65,gradual_topic,456,200,0.04203627109527588
centroid,1.0,1.0,0.1,0,0.09913929104804993,0.95,geometric,42,200,8.082389831542969e-05
covariance,1.0,1.0,0.1,0,0.05567666988175251,0.95,geometric,42,200,0.25067623853683474
mmd,1.0,1.0,0.1,0,0.006338264264145316,0.95,geometric,42,200,0.09581817388534546
knn,0.67,0.3,0.1,0,0.017918315834392132,0.6,geometric,42,200,0.02934814691543579
tda_entropy_h0,0.37,0.0,0.1,10,0.029805758279712123,0.45,geometric,42,200,0.047657978534698484
tda_wasserstein_h0,0.42,0.1,0.1,8,3.593249606370615,0.5,geometric,42,200,0.003352510929107666
tda_phd,0.8000000000000002,0.5,0.1,0,0.0228132552688992,0.7,geometric,42,200,0.05319877862930298
tda_entropy_h1,0.39,0.0,0.1,10,0.29456862701371783,0.45,geometric,42,200,9.070634841918945e-05
tda_betti_auc,0.54,0.1,0.1,8,2.6789604211390623,0.5,geometric,42,200,0.047657978534698484
centroid,1.0,1.0,0.1,0,0.10614302605390548,0.95,geometric,123,200,8.050203323364257e-05
covariance,1.0,1.0,0.1,0,0.061868570810666906,0.95,geometric,123,200,0.24457998275756837
mmd,1.0,1.0,0.1,0,0.0072073793101560925,0.95,geometric,123,200,0.1080082893371582
knn,0.88,0.7,0.1,1,0.032040008235915136,0.8,geometric,123,200,0.02663552761077881
tda_entropy_h0,0.91,0.7,0.1,0,0.04872003080882168,0.8,geometric,123,200,0.037571394443511964
tda_wasserstein_h0,0.9099999999999999,0.5,0.1,1,5.952802122970081,0.7,geometric,123,200,0.0021534204483032227
tda_phd,0.6399999999999999,0.1,0.1,1,0.01723663972369098,0.5,geometric,123,200,0.04597365856170654
tda_entropy_h1,0.34,0.0,0.1,10,0.23785148481869917,0.45,geometric,123,200,8.765459060668945e-05
tda_betti_auc,0.8899999999999999,0.5,0.1,1,6.744627830174369,0.7,geometric,123,200,0.037571394443511964
centroid,1.0,1.0,0.1,0,0.10510565713047981,0.95,geometric,456,200,8.449554443359374e-05
covariance,1.0,1.0,0.1,0,0.058296299077228816,0.95,geometric,456,200,0.23765562772750853
mmd,1.0,1.0,0.1,0,0.007094921971447382,0.95,geometric,456,200,0.11160527467727661
knn,0.94,0.7,0.1,1,0.03269093320173578,0.8,geometric,456,200,0.030570435523986816
tda_entropy_h0,0.5700000000000001,0.1,0.1,1,0.016493094407304554,0.5,geometric,456,200,0.04729583263397217
tda_wasserstein_h0,0.82,0.2,0.1,5,3.388159134311242,0.55,geometric,456,200,0.003157830238342285
tda_phd,0.73,0.5,0.1,0,0.022039568891726005,0.7,geometric,456,200,0.05643132925033569
tda_entropy_h1,0.57,0.2,0.1,0,0.1307696439569569,0.55,geometric,456,200,9.46044921875e-05
tda_betti_auc,0.67,0.1,0.1,5,3.672314172771376,0.5,geometric,456,200,0.04729583263397217
